    0.27220274E-04    0.27725706E+01   -0.50845972E-05
    0.37670048E+00    0.27725706E+01   -0.70316599E-01
    0.11304971E+01    0.27725706E+01   -0.20984691E+00
    0.18854862E+01    0.27725706E+01   -0.34605716E+00
    0.26424811E+01    0.27725706E+01   -0.47669554E+00
    0.34023234E+01    0.27725706E+01   -0.59945116E+00
    0.41658956E+01    0.27725706E+01   -0.71192728E+00
    0.49341367E+01    0.27725706E+01   -0.81161129E+00
    0.57080584E+01    0.27725706E+01   -0.89583984E+00
    0.64887668E+01    0.27725706E+01   -0.96176202E+00
    0.72774883E+01    0.27725706E+01   -0.10091068E+01
    0.80756019E+01    0.27725706E+01   -0.10435740E+01
    0.88846830E+01    0.27725706E+01   -0.10694441E+01
    0.97065596E+01    0.27725706E+01   -0.10893579E+01
    0.10543391E+02    0.27725706E+01   -0.11050163E+01
    0.11397778E+02    0.27725706E+01   -0.11175558E+01
    0.12272920E+02    0.27725706E+01   -0.11277592E+01
    0.13172859E+02    0.27725706E+01   -0.11361809E+01
    0.14102855E+02    0.27725706E+01   -0.11432235E+01
    0.15070019E+02    0.27725706E+01   -0.11491861E+01
    0.16084440E+02    0.27725706E+01   -0.11542972E+01
    0.17161407E+02    0.27725706E+01   -0.11587380E+01
    0.18326394E+02    0.27725706E+01   -0.11626612E+01
    0.19628859E+02    0.27725706E+01   -0.11662165E+01
    0.21198465E+02    0.27725706E+01   -0.11696216E+01
    0.66128938E+00    0.27725706E+01   -0.12326026E+00
    0.76105643E+00    0.27725706E+01   -0.14175728E+00
    0.13097051E+01    0.27725706E+01   -0.24258739E+00
    0.19980896E+01    0.27725706E+01   -0.36592353E+00
    0.27239696E+01    0.27725706E+01   -0.49030443E+00
    0.34659931E+01    0.27725706E+01   -0.60928037E+00
    0.42180553E+01    0.27725706E+01   -0.71915106E+00
    0.49782536E+01    0.27725706E+01   -0.81687346E+00
    0.57462365E+01    0.27725706E+01   -0.89952937E+00
    0.65223768E+01    0.27725706E+01   -0.96413671E+00
    0.73074715E+01    0.27725706E+01   -0.10106096E+01
    0.81026323E+01    0.27725706E+01   -0.10445657E+01
    0.89092590E+01    0.27725706E+01   -0.10701210E+01
    0.97290597E+01    0.27725706E+01   -0.10898328E+01
    0.10564109E+02    0.27725706E+01   -0.11053571E+01
    0.11416946E+02    0.27725706E+01   -0.11178049E+01
    0.12290723E+02    0.27725706E+01   -0.11279442E+01
    0.13189447E+02    0.27725706E+01   -0.11363200E+01
